# rate 12.5K
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw; 32423883.667; 3915.875; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 21670966.667; 192820.036; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 10752926.333; 196096.924; 0.0; 0.0; 4.667; 0.577; 21670957.333; 192820.443; 0.0; 0.0; 9.333; 0.577; 21670957.333; 192820.443; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
detailed; 32417938.667; 1620.966; 2166731.333; 108.556; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 25084891.0; 2572197.762; 0.0; 0.0; 1018954.667; 46249.508; 0.0; 0.0; 8906045.667; 2412936.188; 593737.0; 160859.519; 4.333; 1.528; 23511887.0; 2411437.57; 1572994.333; 160759.071; 9.667; 1.528; 23511887.0; 2411437.57; 554039.667; 115802.993; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all; 32428830.333; 13072.52; 2167457.0; 871.534; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 26098212.667; 2687841.29; 4180839.333; 374993.703; 1393616.667; 124995.571; 0.0; 0.0; 7966948.0; 2509140.046; 531130.667; 167279.252; 4.0; 1.732; 24461876.333; 2519847.277; 1636326.333; 167993.092; 10.0; 1.732; 24461876.333; 2519847.277; 242709.667; 43870.59; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all\\\_uhash; 32439269.667; 7141.814; 2168153.0; 476.085; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 24249752.667; 2776055.603; 7808380.0; 795232.077; 1301412.0; 132528.985; 0.0; 0.0; 9710320.667; 2595993.504; 647353.333; 173061.671; 4.0; 1.0; 22728943.0; 2602555.746; 1520799.667; 173499.055; 10.0; 1.0; 22728943.0; 2602555.746; 219387.667; 41741.949; 0.0; 0.0; 4168042.0; 477006.236;
detailed\\\_all\\\_khash; 32273267.667; 16666.663; 2157086.333; 1111.609; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 24653185.0; 2489457.809; 4022760.333; 336246.448; 1340921.667; 112085.772; 0.0; 0.0; 9166098.0; 2318277.383; 611074.333; 154554.438; 4.667; 1.528; 23107163.667; 2333862.492; 1546012.0; 155593.909; 9.333; 1.528; 23107163.667; 2333862.492; 205090.333; 46456.908; 0.0; 0.0; 4237400.333; 427731.887;


# rate 25K
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw; 36325461.667; 16875.695; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 22019033.333; 206056.12; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 14306436.667; 189523.136; 0.0; 0.0; 5.667; 1.528; 22019025.0; 206055.677; 0.0; 0.0; 8.333; 1.528; 22019025.0; 206055.677; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
